iter	Passed	Remaining
953	2997	144
954	2999	141
955	3008	138
956	3011	135
957	3013	132
958	3015	128
959	3018	125
960	3020	122
961	3022	119
962	3025	116
963	3027	113
964	3029	109
965	3031	106
966	3034	103
967	3036	100
968	3038	97
969	3040	94
970	3043	90
971	3050	87
972	3053	84
973	3056	81
974	3060	78
975	3063	75
976	3066	72
977	3068	69
978	3070	65
979	3073	62
980	3075	59
981	3077	56
982	3080	53
983	3082	50
984	3084	46
985	3087	43
986	3090	40
987	3092	37
988	3095	34
989	3097	31
990	3100	28
991	3102	25
992	3105	21
993	3107	18
994	3110	15
995	3112	12
996	3115	9
997	3117	6
998	3119	3
999	3122	0
